"organizationalUnit","objectTypeName","inheritedObjectTypeName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"OU=Domain Controllers,DC=sos,DC=labs","All","All","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"OU=Domain Controllers,DC=sos,DC=labs","All","All","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"OU=Domain Controllers,DC=sos,DC=labs","All","All","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"OU=Domain Controllers,DC=sos,DC=labs","All","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","S-1-5-21-2248324977-2314973842-2121952795-512","False","None","None"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","inetOrgPerson","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","User","ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","inetOrgPerson","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","User","ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","inetOrgPerson","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","User","ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-32-554","True","ContainerInherit","InheritOnly"
